Komoditas (Rp);date_raw;price_raw;date;price;price_num
Beras Kualitas Bawah II;03/04/2024;14,9;04/03/2024;14,9;14.9
Beras Kualitas Medium I;03/04/2024;15,1;04/03/2024;15,1;15.1
Beras Kualitas Medium II;03/04/2024;16,2;04/03/2024;16,2;16.2
Beras Kualitas Super I;03/04/2024;16,4;04/03/2024;16,4;16.4
Beras Kualitas Super II;03/04/2024;16,45;04/03/2024;16,45;16.45
Beras Kualitas Medium II;03/05/2024;15,45;05/03/2024;15,45;15.45
Beras;03/05/2024;15,2;05/03/2024;15,2;15.2
Beras Kualitas Bawah I;03/05/2024;14,1;05/03/2024;14,1;14.1
Beras Kualitas Bawah II;03/05/2024;14,1;05/03/2024;14,1;14.1
Beras Kualitas Medium I;03/05/2024;14,7;05/03/2024;14,7;14.7
Beras Kualitas Super I;03/05/2024;16,5;05/03/2024;16,5;16.5
Beras Kualitas Super II;03/05/2024;16,35;05/03/2024;16,35;16.35
Beras Kualitas Medium I;03/06/2024;14,6;06/03/2024;14,6;14.6
Beras;03/06/2024;14,9;06/03/2024;14,9;14.9
Beras Kualitas Bawah I;03/06/2024;13,8;06/03/2024;13,8;13.8
Beras Kualitas Super II;03/06/2024;15,65;06/03/2024;15,65;15.65
Beras Kualitas Super I;03/06/2024;16,5;06/03/2024;16,5;16.5
Beras Kualitas Medium II;03/06/2024;15,1;06/03/2024;15,1;15.1
Beras Kualitas Bawah II;03/06/2024;13,8;06/03/2024;13,8;13.8
Beras Kualitas Bawah II;03/07/2024;13,9;07/03/2024;13,9;13.9
Beras Kualitas Medium I;03/07/2024;14,7;07/03/2024;14,7;14.7
Beras Kualitas Medium II;03/07/2024;15,3;07/03/2024;15,3;15.3
Beras Kualitas Super I;03/07/2024;16,5;07/03/2024;16,5;16.5
Beras Kualitas Bawah I;03/07/2024;13,9;07/03/2024;13,9;13.9
Beras;03/07/2024;15;07/03/2024;15;15.0
Beras Kualitas Super II;03/07/2024;15,65;07/03/2024;15,65;15.65
Beras Kualitas Bawah I;03/09/2024;13,9;09/03/2024;13,9;13.9
Beras;03/09/2024;15;09/03/2024;15;15.0
Beras Kualitas Super II;03/09/2024;15,75;09/03/2024;15,75;15.75
Beras Kualitas Bawah II;03/09/2024;14;09/03/2024;14;14.0
Beras Kualitas Medium I;03/09/2024;14,7;09/03/2024;14,7;14.7
Beras Kualitas Medium II;03/09/2024;15,2;09/03/2024;15,2;15.2
Beras Kualitas Super I;03/09/2024;16,3;09/03/2024;16,3;16.3
Beras Kualitas Super II;03/10/2024;16;10/03/2024;16;16.0
Beras Kualitas Bawah I;03/10/2024;13,9;10/03/2024;13,9;13.9
Beras Kualitas Bawah II;03/10/2024;14,1;10/03/2024;14,1;14.1
Beras Kualitas Medium I;03/10/2024;14,7;10/03/2024;14,7;14.7
Beras Kualitas Medium II;03/10/2024;15,35;10/03/2024;15,35;15.35
Beras Kualitas Super I;03/10/2024;16,3;10/03/2024;16,3;16.3
Beras;03/10/2024;15,05;10/03/2024;15,05;15.05
Beras Kualitas Bawah II;03/12/2024;14;12/03/2024;14;14.0
Beras Kualitas Bawah I;03/12/2024;13,9;12/03/2024;13,9;13.9
Beras;03/12/2024;15;12/03/2024;15;15.0
Beras Kualitas Medium I;03/12/2024;14,7;12/03/2024;14,7;14.7
Beras Kualitas Medium II;03/12/2024;15,2;12/03/2024;15,2;15.2
Beras Kualitas Super I;03/12/2024;16,3;12/03/2024;16,3;16.3
Beras Kualitas Super II;03/12/2024;16;12/03/2024;16;16.0
Beras Kualitas Super I;13/03/2024;16,8;13/03/2024;16,8;16.8
Beras Kualitas Super II;13/03/2024;16,5;13/03/2024;16,5;16.5
Beras Kualitas Medium I;13/03/2024;15,3;13/03/2024;15,3;15.3
